,Caracteristica,Valor,Clase_AUC,Epsilon,nx,nc,ncx
2246,Lactobacillus,"(9.564, 29.043]",Alta,2.4771621380110074,170,170,24
2252,Lactobacillus,"(0.0204, 0.0446]",Baja,2.1421843664461226,171,1162,116
2265,Lactococcus,"(0.0864, 0.454]",Media,3.096452416454072,167,610,71
2293,Leuconostoc,"(0.0113, 0.334]",Media,2.214015918525938,165,610,65
2392,Mitsuokella,"(0.015, 1.093]",Baja,2.401318470035439,156,1162,108
2426,Monoglobus,"(-0.001, 0.0424]",Alta,3.4764862248039736,350,170,49
2452,Moryella,"(0.0237, 0.0386]",Baja,2.0570952789275654,175,1162,118
2468,Muribaculaceae,"(-0.001, 0.0544]",Baja,2.2393945743704804,877,1162,557
2478,Muribaculaceae,"(0.706, 3.075]",Alta,2.8912240168759618,174,170,26
2480,Muribaculaceae,"(0.0544, 0.143]",Baja,2.9220435105675375,171,1162,121
2489,Muribaculaceae,"(3.075, 10.846]",Media,4.244579219174426,175,610,81
2492,NK4A214_group,"(0.0129, 0.0429]",Baja,2.4541280240946883,171,1162,118
2526,NK4A214_group,"(0.0429, 0.0971]",Alta,2.1456422940502287,172,170,23
2544,Negativibacillus,"(0.0615, 0.125]",Baja,2.7739540350786305,174,1162,122
2568,Odoribacter,"(0.802, 4.751]",Baja,2.0570952789275654,175,1162,118
2602,Odoribacter,"(0.0366, 0.109]",Alta,2.1755864296883476,171,170,23
2660,Oxalobacter,"(0.00311, 0.0426]",Baja,2.507029088710489,186,1162,128
2692,Parabacteroides,"(0.806, 1.13]",Baja,2.5742608237833657,176,1162,122
2706,Parabacteroides,"(1.256, 1.438]",Alta,2.0277570877624553,176,170,23
2734,Paraprevotella,"(-0.001, 0.144]",Alta,2.290920404526316,878,170,96
2753,Parasutterella,"(0.277, 0.528]",Media,2.0292163486708152,171,610,66
2758,Parasutterella,"(0.161, 0.222]",Alta,2.1463339299172683,154,170,21
2780,Parasutterella,"(0.222, 0.277]",Baja,2.507029088710489,186,1162,128
2794,Pedobacter,"(0.00663, 0.184]",Alta,2.8315419109982485,159,170,24
2802,Peptococcus,"(0.0226, 0.0404]",Alta,2.236060212003302,169,170,23
2829,Phascolarctobacterium,"(0.783, 1.396]",Media,2.013364638084847,177,610,68
2870,Phyllobacterium,"(0.0548, 0.153]",Alta,2.4154968462762363,172,170,24
2886,Prevotella,"(0.0172, 0.108]",Alta,2.086326472011601,174,170,23
2894,Prevotella,"(0.108, 0.313]",Alta,2.490334924016979,196,170,27
2900,Prevotella,"(8.414, 20.031]",Baja,2.6475689617144806,166,1162,116
3006,Rikenella,"(0.0122, 0.0431]",Alta,2.1456422940502287,172,170,23
3014,Rikenellaceae_RC9_gut_group,"(0.0186, 0.102]",Alta,2.086326472011601,174,170,23
3037,Romboutsia,"(0.0772, 0.119]",Media,2.0462704348177727,165,610,64
3056,Romboutsia,"(0.542, 0.888]",Baja,3.0187277621161686,167,1162,119
3072,Roseburia,"(2.635, 3.45]",Baja,3.329764935962001,161,1162,117
3098,Roseburia,"(5.395, 30.601]",Alta,3.999404296665203,173,170,30
3144,Ruminococcus,"(2.012, 2.843]",Baja,2.509494788068187,172,1162,119
3150,Ruminococcus,"(6.165, 7.855]",Alta,2.7533527497568384,187,170,27
3250,Sphingomonas,"(0.0114, 0.419]",Alta,3.358788074458486,168,170,27
3262,Staphylococcus,"(0.0387, 1.026]",Alta,2.592012741406677,175,170,25
3330,Subdoligranulum,"(3.742, 9.628]",Alta,2.6349456107237326,165,170,24
3332,Subdoligranulum,"(1.607, 1.99]",Baja,2.7660716817432545,171,1162,120
3346,Succinivibrio,"(0.0169, 16.567]",Alta,2.5396434492955846,168,170,24
3350,Sutterella,"(-0.001, 0.0121]",Alta,3.0526448666958896,709,170,85
3408,Terrisporobacter,"(0.136, 0.175]",Baja,2.2367341989887253,181,1162,123
3438,Turicibacter,"(0.117, 0.379]",Alta,2.1158898285577434,173,170,23
3446,Turicibacter,"(0.379, 1.059]",Alta,2.3849633240016663,173,170,24
3508,UCG-002,"(2.973, 4.641]",Baja,2.224032538103136,178,1162,121
3518,UCG-002,"(-0.001, 0.024]",Alta,2.0277570877624553,176,170,23
3532,UCG-003,"(0.224, 0.278]",Baja,2.874697001334935,173,1162,122
3546,UCG-003,"(-0.001, 0.084]",Alta,2.093664733177197,353,170,42
3590,UCG-005,"(0.338, 0.492]",Alta,2.47031097905081,179,170,25
3596,UCG-005,"(1.671, 4.824]",Baja,2.2981561952704057,171,1162,117
3609,UCG-005,"(0.166, 0.235]",Media,2.2422323837844362,173,610,68
3650,UCG-010,"(0.0747, 0.158]",Alta,2.8908284956461667,191,170,28
3652,UCG-010,"(0.0358, 0.0747]",Baja,2.0855977756270963,170,1162,115
3690,Ureaplasma,"(0.0225, 3.628]",Alta,2.6496584606420233,156,170,23
3821,[Eubacterium]_coprostanoligenes_group,"(0.115, 0.21]",Media,2.0191230190547333,197,610,75
3902,[Eubacterium]_hallii_group,"(-0.001, 0.286]",Alta,2.4305626339935102,355,170,44
3909,[Eubacterium]_hallii_group,"(0.452, 0.603]",Media,2.5333946940666503,182,610,73
3920,[Eubacterium]_hallii_group,"(0.892, 1.1]",Baja,2.600906287392887,168,1162,117
3974,[Eubacterium]_ruminantium_group,"(0.705, 1.575]",Alta,2.3849633240016663,173,170,24
3998,[Eubacterium]_siraeum_group,"(-0.001, 0.044]",Alta,2.5404243722084145,531,170,63
4008,[Eubacterium]_siraeum_group,"(0.0865, 0.238]",Baja,2.736427995427259,179,1162,125
4013,[Eubacterium]_ventriosum_group,"(0.035, 0.0593]",Media,3.4301679238871716,175,610,76
4036,[Eubacterium]_ventriosum_group,"(0.0857, 0.131]",Baja,2.6650125494695356,172,1162,120
4040,[Eubacterium]_ventriosum_group,"(0.166, 0.259]",Baja,2.211274268549393,175,1162,119
4049,[Eubacterium]_xylanophilum_group,"(0.493, 0.765]",Media,2.2422323837844362,173,610,68
4061,[Eubacterium]_xylanophilum_group,"(0.0776, 0.114]",Media,2.5235452560764564,171,610,69
4066,[Eubacterium]_xylanophilum_group,"(-0.001, 0.0253]",Alta,2.3414461371806863,350,170,43
4068,[Eubacterium]_xylanophilum_group,"(0.164, 0.245]",Baja,3.02976463802549,173,1162,123
4102,[Ruminococcus]_gauvreauii_group,"(0.0467, 0.153]",Alta,2.561297885585253,176,170,25
4126,[Ruminococcus]_gnavus_group,"(0.0138, 0.033]",Alta,4.047379258580199,187,170,32
4128,[Ruminococcus]_gnavus_group,"(0.033, 0.0782]",Baja,2.128831470353711,168,1162,114
4144,[Ruminococcus]_torques_group,"(0.92, 1.376]",Baja,3.9056488198761707,178,1162,132
4150,[Ruminococcus]_torques_group,"(-0.001, 0.125]",Alta,2.6790464166217443,352,170,45
4172,uncultured,"(1.122, 1.496]",Baja,2.0153788156673653,177,1162,119
4194,uncultured,"(0.466, 0.813]",Alta,2.5004495319871625,178,170,25
4200,uncultured,"(5.448, 25.946]",Baja,2.409494091263271,173,1162,119
